
Slno,Product,Standard,retailprice,price1
1,Yuja Niacin Brightening Toner,180ml,1750,1550
2,Yuja Niacin Blemish Care Serum,50ml,1800,1550
3,Yuja Niacin brightening Sleeping Mask,60ml,1850,1550
4,Yuja Niacin 30 Days Brightening Starter Kit,200ml,1950,1840
5,Galactomyces Pure Vitamin C Glow Serum,30ml,1800,1650
6,Galactomyces Pure Vitamin C Glow Toner,200ml,1850,1730
7,ACNE AHA-BHA-PHA 30 Days Miracle Acne Clear Foam,100ml,1001,
8,AHA BHA PHA 30 Days Miracle Toner,150ml,935,
9,"AHA,BHA,PHA 30 Days Miracle Serum",50ml,1001,
10,AHA BHA PHA 30 Days Miracle Cream,50ml,1001,
11,Super Miracle Spot All Kill Cream,30ml,759,1250
12,TRUECICA Mineral 100 Calming Suncream,50ml,781,
13,SNAIL TRUECICA Miracle Repair Toner,135ml,1600,1450
14,SNAIL TRUECICA Miracle Repair Serum,50ml,1800,1600
15,SNAIL TRUECICA Miracle Repair Low pH Gel Cleanser,100ml,726,
16,SNAIL TRUECICA Miracle Repair Cream,60ml,1850,1600
17,BYE BYE BLACKHEAD 30 Days Miracle Green Tea Tox,120ml,913,
